Date,SPX,Eurostoxx,FTSE,Nikkei,US 10Y,GE 10Y,Gilt,JGB,Oil,Gold
1992-12-31,585.41,774.45,2944.1,14729,21.234,25.77,23,46.99,54.66,668.4
1993-01-01,585.41,774.45,2944.1,14729,21.234,25.77,23,46.99,54.66,668.4
1993-01-04,582.53,770.93,2961.6,14720,21.984,25.91,22.75,46.91,53.37,658.97
1993-01-05,581.33,779.13,2935.9,14634,21.891,26.17,22.34,47.09,53.99,660.17
1993-01-06,582.2,779.07,2926.6,14504,21.734,26.3,22.63,47.09,53.37,662.38
1993-01-07,575.45,775,2916.9,14556,20.828,26.26,22.31,47.23,53.12,660.17
1993-01-08,574.78,770.17,2903,14512,21.141,26.47,22.19,47.1,52.92,661.17
1993-01-11,576.52,760.33,2869.1,14452,21.453,26.27,21.41,47.05,52.64,657.76
1993-01-12,577.12,762.71,2852.6,14478,21.359,26.31,21.06,47.44,51.52,659.77
1993-01-13,579.66,761.41,2836.2,14348,21.516,26.2,21.28,47.43,51.86,657.36
1993-01-14,583.6,766.72,2863.4,14365,21.922,26.38,21.47,47.54,52.42,656.76
1993-01-15,583.81,776.72,2862.9,14365,22.453,26.6,21.69,47.54,52.89,656.16
1993-01-18,584.94,784.6,2853.6,14478,22.391,26.61,21.25,48.04,52.89,658.16
1993-01-19,582.6,784.58,2820.8,14616,22.547,26.58,21.38,48.01,52.08,659.37
1993-01-20,579.39,784.27,2835.1,14322,22.328,26.35,21.44,47.85,51.38,661.77
1993-01-21,583.6,785.58,2862.9,14330,22.453,26.37,22.19,47.87,51.38,660.57
1993-01-22,584.07,787.77,2882.4,14192,22.828,26.37,21.97,48,51.44,658.97
1993-01-25,589.02,775.33,2859.8,14149,23.391,26.08,21.63,48.04,53.7,659.17
1993-01-26,588.29,783.11,2942.1,14339,23.266,26.14,22.72,48.17,53.65,663.57
1993-01-27,586.01,777.16,2936.9,14322,23.484,26.19,22.63,48.05,53.7,660.97
1993-01-28,586.95,778.47,2915.3,14842,23.766,26.3,23.44,48.04,55.75,662.37
1993-01-29,586.21,781.97,2902,14772,24.109,26.36,23.22,47.99,55.34,661.57
1993-02-01,591.9,787.81,2948.2,14894,24.328,26.49,23.66,48.22,55.48,661.57
1993-02-02,592.63,790.24,2917.4,14937,23.859,26.56,23.69,48.41,54.63,661.37
1993-02-03,599.12,803.64,2964.7,15015,23.922,26.73,23.63,47.88,54.44,659.17
1993-02-04,601.33,808.81,2955.4,14946,24.328,26.56,23.13,47.78,55.45,658.57
1993-02-05,601.06,822.03,2954.4,15084,24.953,26.69,23.16,48.23,55.21,657.97
1993-02-08,599.86,825.73,2955.4,14998,24.609,26.67,22.88,48.34,54.85,658.37
1993-02-09,596.71,819.88,2907.1,14781,24.328,26.8,22.63,48.75,54.77,659.37
1993-02-10,598.05,820.85,2895.8,14850,23.828,26.87,22.97,48.7,55.12,667.57
1993-02-11,599.32,825.07,2908.1,14850,24.203,26.98,22.5,48.7,55.34,665.57
1993-02-12,594.84,823.87,2926.6,14625,24.297,26.96,24.22,48.94,54.58,660.17
1993-02-15,594.84,829.03,2925.6,14859,24.297,26.96,24.31,48.82,54.58,660.17
1993-02-16,580.26,822.84,2882.4,14755,24.391,27.3,24.59,48.99,53.35,666.97
1993-02-17,580.13,821.73,2889.6,14755,24.859,27.39,24.59,49.27,52.8,663.17
1993-02-18,578.32,831.66,2918.4,14755,25.797,27.55,24.41,49.25,53.05,663.17
1993-02-19,582,833.42,2922.5,14824,25.859,28.02,25,49.57,53.59,662.17
1993-02-22,583.87,838.32,2922.5,14625,26.391,28.35,24.97,50.14,54.78,657.77
1993-02-23,583.2,832.83,2896.8,14634,27.484,28.4,25.25,50.29,55.43,663.37
1993-02-24,590.96,831.32,2891.2,14634,26.891,28.2,24.38,50.93,55.57,660.97
1993-02-25,591.36,833.75,2910.2,14694,26.672,28.31,24.91,50.91,55.79,661.37
1993-02-26,593.5,845.53,2960.6,14686,26.766,28.89,25.28,50.36,55.76,658.17
1993-03-01,591.83,854.69,2971.9,14642,27.484,29.44,26.16,50.21,55.76,658.77
1993-03-02,599.66,854.18,2969.8,14694,27.391,29.27,26.09,50.51,55.41,661.17
1993-03-03,602.13,855.11,3012,14625,27.984,29.52,26.38,50.61,55.43,659.57
1993-03-04,598.25,852.92,2991.4,14556,28.266,29.53,26.19,50.65,57.03,659.37
1993-03-05,596.58,855.42,3013,14642,27.703,30,26.97,50.83,56.65,660.97
1993-03-08,609.96,858.79,3057.2,15160,27.828,29.95,27.28,50.58,56.06,655.57
1993-03-09,608.08,860.71,3040.7,15497,27.359,29.75,26.91,49.97,55.98,654.57
1993-03-10,610.49,859.82,3044.8,15514,27.047,30.21,27.22,50.14,55.19,653.97
1993-03-11,607.82,860.5,3033.5,15566,27.016,29.88,26.44,49.93,54.49,655.37
1993-03-12,600.93,851.19,3001.7,15678,25.984,29.44,26.84,50,54.92,657.17
1993-03-15,604.4,853.54,3004.2,15721,25.641,29.59,26.81,49.45,54.57,659.77
1993-03-16,602.93,850.88,2990.4,15574,26.453,29.44,25.41,49.72,54.49,659.37
1993-03-17,599.46,847.32,2963.9,15799,26.734,29.19,25.94,49.61,54.6,659.57
1993-03-18,604.33,849.35,2960.3,16178,27.266,29.08,26.78,49.52,54.92,662.57
1993-03-19,601.86,850.57,2980.2,16135,27.141,29.05,26.34,49.98,54.35,664.77
1993-03-22,599.86,838.01,2928.1,16282,27.141,28.71,25.88,49.42,52.84,666.76
1993-03-23,600.73,838.33,2937.3,16057,27.516,28.53,25.31,49.24,52.84,664.97
1993-03-24,600.13,839.21,2936.3,16049,27.234,28.62,25.53,49.15,53.39,665.97
1993-03-25,603.87,844.76,2928.1,16290,27.047,28.99,25.44,48.38,53.84,666.36
1993-03-26,599.72,847.34,2928.1,16359,26.297,29.15,25.06,48.05,53.84,665.97
1993-03-29,603.33,851.58,2929.1,16541,26.578,29.09,25.03,47.28,53.52,665.37
1993-03-30,605,854.04,2944.4,16437,26.891,28.92,25.28,48.1,53.5,675.13
1993-03-31,604.67,854.86,2963.9,16118,26.828,28.72,26.38,47.86,53.92,676.13
1993-04-01,600.33,846.78,2958.7,16359,26.766,28.4,26.06,48.06,54.13,677.92
1993-04-02,591.24,841.45,2945.5,16912,26.172,28.69,26.47,47.88,54.47,682.11
1993-04-05,591.71,838.78,2913.8,17032,26.516,28.68,25.72,47.51,54.39,679.52
1993-04-06,590.44,844.01,2904.6,16938,27.016,29.18,26.25,47.45,53.55,676.13
1993-04-07,591.51,841.85,2887.2,17248,27.047,29.43,26.53,47.15,53.73,676.92
1993-04-08,591.31,846.85,2897.4,17360,27.859,29.4,26.91,46.85,53.34,675.33
1993-04-09,591.31,844.57,2897.4,17309,27.859,29.4,26.91,47.53,53.34,675.33
1993-04-12,598.99,844.01,2897.4,17257,28.078,29.4,26.91,47.83,53.97,673.94
1993-04-13,600.79,854.08,2928.1,18007,27.891,29.82,27.38,47.55,53.97,675.13
1993-04-14,599.99,852.97,2916.8,17792,28.172,29.58,26.38,47.98,53.81,679.12
1993-04-15,600.13,850.65,2918.9,17938,28.359,29.58,26.28,47.96,53.34,674.14
1993-04-16,600.59,853.42,2896.4,17542,28.266,29.65,25.31,47.95,53.13,677.92
1993-04-19,597.12,855.84,2904.6,17403,28.422,29.69,25.66,48.14,52.73,680.51
1993-04-20,595.58,851.41,2934.2,17214,28.422,29.4,25.63,48.57,52.33,679.71
1993-04-21,592.98,844.69,2949.6,17231,28.547,29.02,25.38,48.75,52.33,678.92
1993-04-22,585.9,847.35,2956.7,16981,28.766,29.61,25.13,48.88,52.33,679.91
1993-04-23,583.83,842.02,2910.7,17093,28.484,29.05,24.81,49.07,52.83,692.47
1993-04-26,578.35,840.59,2883.1,17041,28.203,28.56,24.88,48.91,52.72,705.02
1993-04-27,584.76,840.45,2894.4,17559,27.641,28.75,25.56,48.25,52.41,701.63
1993-04-28,583.76,839.7,2853.5,17783,27.609,28.43,24.53,46.95,52.44,706.22
1993-04-29,586.9,831.64,2849.4,17783,28.016,27.95,23.41,46.95,53.45,712.2
