Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14
31/12/1992,1527.36,2810.23,287.88,8.295,481.79,44.632813,51.265,145.68,NaN,1720.4,197.72,43.1209202,1.42087084,127.5126096
01/01/1993,1527.36,2810.23,287.88,8.295,481.79,44.632813,51.265,145.68,NaN,1720.4,197.58,43.1209202,1.42087084,127.5126096
04/01/1993,1534.92,2807.54,286.71,8.212,476.69,45.273438,51.425,146.577,NaN,1713.9,196.59,42.45549328,1.39904486,126.5766435
05/01/1993,1548.25,2836.16,292.12,8.307,481.86,45.289063,51.485,147.521,NaN,1730,196.86,42.14789027,1.40318031,131.0522629
06/01/1993,1538.16,2822.75,293.8,8.347,489.89,45.179688,51.575,148.655,NaN,1724,198.28,41.84656487,1.40076797,130.4226131
07/01/1993,1510.79,2795.92,295.44,8.257,486.92,44.664063,51.525,149.788,NaN,1717.6,197.82,41.84656487,1.40318031,129.5376997
08/01/1993,1502.14,2786.08,295.13,8.289,488.96,45.085938,51.785,149.599,NaN,1725,196.91,42.07255892,1.4001936,129.5887524
11/01/1993,1483.05,2758.35,294.9,8.244,496,45.367188,51.655,152.102,NaN,1686.3,197.86,42.04117085,1.41351893,131.4777021
12/01/1993,1510.79,2784.29,294.46,8.311,492.12,45.289063,51.625,150.827,NaN,1659.6,197.17,42.02233802,1.40789013,130.4906833
13/01/1993,1502.29,2749.41,292.2,8.311,502.75,45.445313,51.445,151.252,NaN,1654.1,198.19,41.89678577,1.40754551,130.9501576
14/01/1993,1529.16,2775.34,294.19,8.262,510.09,45.742188,51.675,150.402,NaN,1678,200.2,41.93445144,1.41524203,129.9461213
15/01/1993,1525.2,2820.06,294.14,8.246,507.28,46.148438,51.845,152.432,NaN,1702.9,201.47,42.17300072,1.41076197,129.5206822
18/01/1993,1513.31,2874.62,293.98,8.28,506.63,46.164063,51.795,152.338,NaN,1703.8,201.44,42.27972013,1.4197221,131.205421
19/01/1993,1496.38,2860.31,294.51,8.302,502.98,46.101563,51.735,151.913,NaN,1709.3,201.69,41.98467234,1.42741863,130.8991049
20/01/1993,1492.78,2864.78,294.87,8.403,502.59,45.929688,51.595,152.493,NaN,1693.7,202.18,41.82773203,1.43235819,130.6778765
21/01/1993,1512.23,2867.47,294.87,8.37,507.42,46.085938,51.665,150.801,NaN,1690.9,202.68,41.79006635,1.4236278,128.942085
22/01/1993,1521.59,2888.04,297.39,8.336,505.38,46.382813,51.675,151.042,NaN,1691.8,203.57,42.07255891,1.43488541,129.5376997
25/01/1993,1511.51,2840.64,298.68,8.3,509.71,46.695313,51.465,149.882,NaN,1641.8,205.22,42.04744846,1.46165094,131.6819128
26/01/1993,1514.75,2854.95,298.55,8.322,507.46,46.539063,51.505,150.462,NaN,1651.3,206.29,42.36132909,1.45774524,130.3545428
27/01/1993,1496.45,2820.96,293.67,8.278,498.41,46.804688,51.575,149.592,NaN,1635.4,204.12,42.21066639,1.45004872,128.0912068
28/01/1993,1503.94,2842.42,289.58,8.336,495.81,47.164063,51.695,148.237,NaN,1629.5,203.41,42.6689321,1.44453479,128.4996283
29/01/1993,1515.11,2844.21,289.03,8.228,495.67,47.367188,51.705,148.673,NaN,1630.4,204.24,42.55593507,1.42489141,125.9299761
01/02/1993,1536.72,2875.52,287.77,8.262,502.25,47.429688,51.785,149.543,NaN,1651.3,205.02,42.27972013,1.40329519,123.6326049
02/02/1993,1536,2865.68,287.26,8.255,504.88,47.148438,51.895,151.139,NaN,1641.3,205.74,42.54337985,1.3941053,122.4073403
03/02/1993,1536.72,2899.67,288.74,8.233,503.66,47.085938,52.135,151.671,NaN,1683.2,207.76,42.43666044,1.39261195,121.4883918
04/02/1993,1539.6,2920.24,292.2,8.255,500.6,47.382813,51.975,150.704,NaN,1710.5,208.12,42.5182694,1.38250307,122.3222525
05/02/1993,1547.53,2971.22,292.95,8.228,493.59,47.960938,52.265,151.478,NaN,1760.6,206.51,42.27344251,1.38836163,122.5604984
08/02/1993,1546.09,2967.64,292.9,8.244,489.21,47.632813,52.215,153.267,NaN,1750.5,206.38,41.94700666,1.38468567,121.8968133
09/02/1993,1542.49,2950.65,293.28,8.318,485.49,47.382813,52.255,152.929,NaN,1748.7,204.83,41.87167531,1.38721289,121.4713742
10/02/1993,1534.56,2960.49,294.52,8.457,491.31,47.007813,52.285,153.896,NaN,1748.7,204.9,42.1165022,1.38640877,121.0289176
11/02/1993,1536.72,2994.47,296.3,8.446,490.01,47.257813,52.375,153.751,NaN,1755.1,205.85,42.46177089,1.3802056,120.4162852
12/02/1993,1544.14,2987.32,294.76,8.3,483.14,47.351563,52.335,153.703,NaN,1756.9,204.89,42.5182694,1.37974611,120.1269866
15/02/1993,1548.97,3020.41,295.2,8.3,483.14,47.351563,52.325,153.703,NaN,1747.8,204.47,42.5182694,1.37940149,120.1269866
16/02/1993,1537.44,2996.26,292.06,8.345,464.01,47.601563,52.515,152.59,NaN,1732.3,198.26,42.96397989,1.39651765,122.6626037
17/02/1993,1523.03,2981.95,291.6,8.213,462.7,47.976563,52.545,153.074,NaN,1756.9,195.91,43.13975304,1.40111259,122.8327794
18/02/1993,1543.93,3019.52,289.59,8.169,465.87,48.664063,52.655,153.412,NaN,1778.8,197.02,43.08953214,1.39341606,122.8157618
19/02/1993,1533.12,3020.41,293.79,8.017,465.38,48.648438,52.945,153.122,NaN,1788.8,198,43.26530529,1.3941053,123.4624292
22/02/1993,1514.39,3016.83,294.36,7.927,455.26,48.773438,53.165,154.718,NaN,1785.6,195.5,43.31552619,1.39272682,123.9048859
23/02/1993,1487.66,2986.42,293.29,8.052,456.45,49.507813,53.025,154.718,NaN,1776.6,195.04,43.7737919,1.40157208,123.7006751
24/02/1993,1494.22,2972.11,292.81,8.003,468.34,49.132813,52.845,155.008,NaN,1786.5,196.83,43.53524263,1.40076797,121.403304
25/02/1993,1491.33,2988.21,292.56,7.961,470.4,48.960938,53.035,154.138,NaN,1773,197.75,43.64823965,1.39123346,121.5734796
26/02/1993,1523.75,3020.41,293.64,8.039,469.7,49.117188,53.345,155.202,NaN,1810.8,199.28,43.60429636,1.3823882,121.284181
01/03/1993,1535.28,3040.98,290.06,7.999,466.96,49.507813,53.665,154.863,NaN,1822.5,199.31,44.21322477,1.3823882,122.1520768
02/03/1993,1538.16,3054.4,290.86,8.01,476.48,49.492188,53.555,155.685,NaN,1820.7,200.81,44.41410837,1.38836163,123.002955
03/03/1993,1541.77,3033.83,292.37,7.99,481.49,49.882813,53.675,155.685,NaN,1819.8,202.24,44.35133225,1.38571953,123.275236
04/03/1993,1539.17,3022.2,292.66,7.99,475.57,50.054688,53.645,156.024,NaN,1813.5,202.14,44.77193228,1.39226733,123.6836576
05/03/1993,1538.16,3025.78,292.56,8.023,475.61,49.492188,53.845,156.604,NaN,1816.2,202.71,44.50827256,1.37227933,123.122078
08/03/1993,1541.69,3046.35,293.13,7.945,480.8,49.382813,53.915,158.346,NaN,1825.2,204.27,44.18811432,1.37308344,122.5945335
09/03/1993,1554.16,3063.34,294.06,7.99,480.74,49.054688,53.745,158.055,NaN,1830.6,204.99,44.01774747,1.36527204,122.4917145
10/03/1993,1558.48,3067.82,295.12,7.999,483.23,48.882813,54.035,159.216,NaN,1824.3,206.04,44.24490328,1.36814388,121.8748004
11/03/1993,1560.14,3060.66,295.09,8.122,483.87,49.023438,53.905,158.829,NaN,1812.6,206.47,44.3521713,1.36791413,121.9947559
12/03/1993,1531.68,3007,295.84,8.122,485.09,48.351563,53.685,159.216,NaN,1791.9,205.7,44.70552477,1.36515717,121.9776194
15/03/1993,1531.68,3053.69,296.67,8.2,487.32,48.179688,53.905,159.845,NaN,1813.5,206.62,44.12501549,1.3667654,122.1832574
16/03/1993,1531.68,3033.43,299.25,8.184,486.38,48.773438,53.805,159.942,NaN,1798.2,206.28,44.40265036,1.36929262,123.3828125
17/03/1993,1531.68,3016.69,298.9,8.135,475.74,49.054688,53.655,159.681,NaN,1795.5,205.07,44.5414678,1.36492742,123.5713141
18/03/1993,1531.68,3021.97,299.57,8.236,475.53,49.539063,53.695,160.672,NaN,1785.6,205.17,44.94530034,1.37021161,126.5873384
19/03/1993,1531.68,3000.83,300.18,8.247,470.25,49.320313,53.615,160.359,NaN,1791.9,204.19,44.98315964,1.39387556,127.1014334
22/03/1993,1531.68,2936.51,299.92,8.24,467.39,49.382813,53.385,161.297,NaN,1767.6,202.46,44.82541256,1.38916574,126.6901574
23/03/1993,1531.68,2938.27,298.34,8.177,465.68,49.648438,53.065,159.472,NaN,1778.4,202.03,44.16287479,1.39042935,126.3131543
24/03/1993,1522.05,2955.01,299.81,8.247,466.17,49.429688,52.925,158.951,NaN,1775.7,201.66,44.40896024,1.39330119,125.6619673
25/03/1993,1509.57,2939.16,299.05,8.307,474.02,49.351563,53.135,160.15,NaN,1804.5,202.96,44.51622826,1.38250307,125.4906023
26/03/1993,1524.55,2979.68,298.29,8.334,471.71,48.820313,53.275,160.254,NaN,1825,203.43,44.5414678,1.39111859,126.6730209
29/03/1993,1540.95,2982.33,301.34,8.381,470.05,49.023438,53.355,160.567,NaN,1833.5,203.58,44.36479106,1.38836163,127.0157509
30/03/1993,1545.23,3014.93,301.35,8.709,478.5,49.304688,53.325,158.116,NaN,1833,204.09,44.7307643,1.39720689,127.1357064
31/03/1993,1543.8,2987.61,302.84,8.691,480.77,49.210938,53.205,159.055,NaN,1827.2,205.44,44.30169223,1.40639677,128.9007661
01/04/1993,1546.3,2962.94,301.73,8.731,473.97,49.226563,52.925,158.325,NaN,1802.3,205.03,43.77166201,1.41179583,130.4773243
02/04/1993,1544.87,2954.13,302.35,8.861,456.37,48.882813,53.225,157.96,NaN,1782.7,201.55,43.77797189,1.41386355,129.4148612
05/04/1993,1540.95,2940.92,301.7,8.749,461.09,49.148438,53.225,158.846,NaN,1771.1,200.85,44.18180444,1.41903286,129.7747277
06/04/1993,1548.08,2955.9,302.8,8.608,455.54,49.320313,53.515,158.012,NaN,1795.2,199.61,44.52884803,1.4058224,129.0721311
07/04/1993,1540.24,2927.7,304.69,8.635,461.73,49.398438,53.645,158.481,NaN,1777.4,199.9,44.40265036,1.40226132,129.0892676
08/04/1993,1547.72,2943.56,304.51,8.568,456.88,49.914063,53.665,158.273,NaN,1780,199.86,44.62349628,1.41248507,130.0831847
09/04/1993,1547.72,2943.56,304.68,8.568,456.88,49.914063,53.665,158.273,NaN,1780,199.21,44.62349628,1.41248507,130.0831847
12/04/1993,1547.72,2943.56,305.52,8.658,466.84,50.117188,53.665,159.42,NaN,1780,200.76,44.83803232,1.41248507,132.0196094
13/04/1993,1542.38,2969.11,306.17,8.658,462.65,50.085938,53.895,159.577,NaN,1811.2,202.08,45.2292451,1.4397101,132.859298
14/04/1993,1532.61,2962.06,308.88,8.809,463.48,50.226563,53.645,159.629,NaN,1806.3,202.07,45.43116137,1.43074996,132.276657
15/04/1993,1531.68,2962.06,308.87,8.66,460,50.289063,53.555,158.168,NaN,1784.5,201.45,45.35544277,1.42489141,131.2998764
16/04/1993,1534.1,2975.28,309.38,8.76,455.66,50.226563,53.535,156.448,NaN,1776.5,201.33,45.1535265,1.41053222,130.0489117
19/04/1993,1529.18,2993.78,308.8,8.731,451.39,50.304688,53.565,157.438,NaN,1765.8,200.39,45.24186486,1.42500628,131.5569239
20/04/1993,1535.96,2973.52,311.76,8.769,453.54,50.335938,53.455,156.917,NaN,1748.8,199.68,44.98315964,1.42626989,132.242384
21/04/1993,1538.45,2946.2,313.83,8.723,455.06,50.476563,53.175,158.742,NaN,1731,200.37,44.98315964,1.42156008,131.4541049
22/04/1993,1539.74,2964.71,314.42,8.747,452.76,50.617188,53.665,158.638,NaN,1748.8,200.57,44.62980616,1.41857337,132.550841
23/04/1993,1525.97,2921.53,311.86,8.831,446.31,50.460938,53.175,158.168,NaN,1715.9,199.71,44.93268057,1.44327118,134.4872657
26/04/1993,1512.93,2901.27,311.22,9.078,437.78,50.335938,52.925,159.003,NaN,1703,196.8,45.3806823,1.45648164,135.3955003
27/04/1993,1503.51,2884.53,310.05,9.129,447.57,49.960938,53.245,159.889,NaN,1715.9,196.8,45.02101894,1.4475215,134.7100402
28/04/1993,1513.5,2890.7,305.67,9.333,454.34,49.945313,53.115,160.046,NaN,1735.8,197.56,44.97684976,1.44200757,134.4358562
29/04/1993,1498.88,2875.72,306.18,9.714,453.43,50.289063,52.685,160.515,NaN,1710.1,198.35,44.74969395,1.45039334,134.3673102
30/04/1993,1503.51,2884.53,308.16,9.796,454.72,50.164063,52.975,160.15,NaN,1726.1,199.61,44.35848117,1.43993985,134.2987642
03/05/1993,1518.84,2891.58,305.32,9.574,461.44,50.554688,53.065,161.089,NaN,1728.7,200.51,44.45312942,1.43993985,133.5618946
04/05/1993,1521.2,2863.39,303.54,9.519,472.56,50.648438,53.155,160.567,NaN,1719,202.74,43.96726839,1.45521803,133.7161231
05/05/1993,1532.39,2876.6,302.94,9.57,475.32,50.523438,53.355,159.003,NaN,1716.8,204.13,44.29538234,1.44935948,133.7675326
06/05/1993,1539.88,2854.58,303.96,9.703,470.46,50.726563,53.135,159.942,NaN,1709.2,204.33,44.36479106,1.4497041,135.1727257
07/05/1993,1533.11,2836.95,304.43,9.503,472.49,50.695313,53.195,159.472,NaN,1668.4,204.35,44.70552477,1.45188669,134.2302182
